Price,Open,High,Low,Close,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2015-12-29,1.8716652947340335,1.8881557222714909,1.8359359695424082,1.8386844396591187,22441300
2015-12-30,1.8304395467784658,1.8579237295305489,1.791961874401564,1.8414331674575806,30041600
2016-01-04,1.8057035621149506,1.9321303027165357,1.8002067530041979,1.8881556987762451,45962100
2016-01-05,1.9018981612680306,1.9238854020369085,1.819445877330446,1.8359363079071045,29446700
2016-01-06,1.794710321725128,1.7974586613319656,1.7589809894561768,1.7589809894561768,67507200
2016-01-07,1.7012641928716634,1.767225907431658,1.6710316748378606,1.7205030918121338,57387900
2016-01-08,1.753483980559064,1.7727227487905042,1.6847737944655672,1.723251461982727,52100300
2016-01-11,1.7232518586899597,1.7314971405831963,1.6627869386720269,1.6737805604934692,51334000
2016-01-12,1.6820251407192437,1.6820251407192437,1.5143723992899025,1.5198692083358765,81627800
2016-01-13,1.566592095997522,1.5775857146248942,1.4429138209124492,1.4484106302261353,70874300
2016-01-14,1.4594041098366952,1.5638436079025269,1.4099328307259504,1.5638436079025269,76854200
2016-01-15,1.470397854271067,1.4951335614875685,1.418178100733047,1.420926570892334,75571500
2016-01-18,1.4264234118400914,1.4319202212264892,1.3192355632781982,1.3192355632781982,46407200
2016-01-19,1.3824488278537348,1.38794563680715,1.27526085668074,1.2807576656341553,66529300
2016-01-20,1.2367835777061076,1.2367835777061076,1.1708218498011809,1.217544674873352,92914100
2016-01-21,1.2010540560268814,1.2835063341337143,1.1983057166522713,1.2367833852767944,87455300
2016-01-22,1.2999964019317738,1.31099001848075,1.2092989998755972,1.2120473384857178,100576600
2016-01-26,1.1625762481012503,1.1845634846807296,1.1323437322773322,1.1543309688568115,71933300
2016-01-27,1.1598279622046752,1.2752611036342134,1.143337532151068,1.256022334098816,79437900
2016-01-28,1.283506586653683,1.4099333680620314,1.1955574814400423,1.2642676830291748,131960900
2016-01-29,1.2917512511958744,1.335725852776348,1.2422799718538835,1.3302290439605713,93013900
2016-02-01,1.302745413025421,1.3357264107515479,1.280758168577546,1.2972486019134521,51910300
2016-02-02,1.2532736663898998,1.2780093731058788,1.1818151473999023,1.1818151473999023,53610300
2016-02-03,1.2147958927056384,1.2422799359910983,1.1598276750804624,1.2340346574783325,73786400
2016-02-04,1.2532739008072236,1.357713425304732,1.1983057989950046,1.2999968528747559,91974200
2016-02-05,1.2999964946073361,1.3137385818003404,1.2450284079438307,1.247776746749878,52704500
2016-02-10,1.1818154163143035,1.2120478080082755,1.1763186059104633,1.1845637559890747,45747400
2016-02-11,1.1543309196846743,1.173569816399315,1.132343684041806,1.1625761985778809,59451500
2016-02-12,1.2010542909099007,1.2395320981135824,1.1818155183623689,1.2230415344238281,64027200
2016-02-15,1.2532738635627372,1.2642674835984753,1.2422802435269993,1.256022334098816,28490400
2016-02-16,1.2367833548393332,1.275261022516914,1.2147961161664298,1.2202929258346558,80343900
2016-02-17,1.2477770922835436,1.3247325659771698,1.239531942527904,1.2862547636032104,84473100
2016-02-18,1.2890030012048994,1.338474283958435,1.2505253368410383,1.261518955230713,65026900
2016-02-19,1.2367832848905276,1.2560221831683627,1.2092992381038148,1.2257896661758423,56031000
2016-02-22,1.2835061317693655,1.3851971626281738,1.2725125138956705,1.3851971626281738,80150300
2016-02-23,1.3604612712879245,1.4511588029541316,1.3247320835998069,1.352216124534607,85037400
2016-02-24,1.3109899943955514,1.3549644597835675,1.2780091453545395,1.3384740352630615,75039700
2016-02-25,1.3219837785380444,1.396190763826317,1.3164869696668489,1.3439710140228271,70393700
2016-02-26,1.3797001620914489,1.401687394785457,1.3274804189160576,1.3384740352630615,61396800
2016-02-29,1.396191030615912,1.4374171705546608,1.3687069810081747,1.4126814603805542,84165000
2016-03-01,1.4594038724899292,1.4758942961782957,1.4016873240535277,1.4594038724899292,80939200
2016-03-02,1.4319200821972724,1.5528500080108643,1.4154296556391817,1.5528500080108643,88545800
2016-03-03,1.8057037591934204,1.8057037591934204,1.8057037591934204,1.8057037591934204,186772500
2016-03-04,1.8057030582279456,2.1712410897241705,1.8057030582279456,1.9843493700027466,175922100
2016-03-07,1.9925950245244404,2.069550476238912,1.9101427641913822,2.025575876235962,85041400
2016-03-08,2.0255760098728652,2.1547512175133434,1.9458722141177887,2.0530600547790527,137169400
2016-03-09,2.1162735090593863,2.1382608769265943,2.022827752604397,2.088789463043213,84821900
2016-03-10,2.1437577260513176,2.1877322004960966,2.0090857014827748,2.184983730316162,117672300
